arm=B round=0 tag=warmup hint_faults_delta=92703 pages_migrated_delta=1081753
arm=CFULL round=0 tag=warmup hint_faults_delta=0 pages_migrated_delta=0
arm=CL1 round=0 tag=warmup hint_faults_delta=0 pages_migrated_delta=0
arm=B round=1 tag=recorded hint_faults_delta=198306 pages_migrated_delta=1321505
arm=CFULL round=1 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CL1 round=1 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CFULL round=2 tag=recorded hint_faults_delta=2 pages_migrated_delta=0
arm=CL1 round=2 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=2 tag=recorded hint_faults_delta=119633 pages_migrated_delta=1445139
arm=CL1 round=3 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=3 tag=recorded hint_faults_delta=373731 pages_migrated_delta=1549189
arm=CFULL round=3 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=4 tag=recorded hint_faults_delta=239826 pages_migrated_delta=1500384
arm=CFULL round=4 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CL1 round=4 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CFULL round=5 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CL1 round=5 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=5 tag=recorded hint_faults_delta=207735 pages_migrated_delta=1560273
arm=CL1 round=6 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=6 tag=recorded hint_faults_delta=420684 pages_migrated_delta=1629134
arm=CFULL round=6 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=7 tag=recorded hint_faults_delta=94497 pages_migrated_delta=920953
arm=CFULL round=7 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CL1 round=7 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CFULL round=8 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CL1 round=8 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=8 tag=recorded hint_faults_delta=80473 pages_migrated_delta=1044924
arm=CL1 round=9 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=9 tag=recorded hint_faults_delta=233584 pages_migrated_delta=1386106
arm=CFULL round=9 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=10 tag=recorded hint_faults_delta=70357 pages_migrated_delta=1098493
arm=CFULL round=10 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CL1 round=10 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CFULL round=11 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CL1 round=11 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=11 tag=recorded hint_faults_delta=109922 pages_migrated_delta=993918
arm=CL1 round=12 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=12 tag=recorded hint_faults_delta=238114 pages_migrated_delta=1511049
arm=CFULL round=12 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=13 tag=recorded hint_faults_delta=197202 pages_migrated_delta=1317325
arm=CFULL round=13 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CL1 round=13 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CFULL round=14 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=CL1 round=14 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=14 tag=recorded hint_faults_delta=282340 pages_migrated_delta=1565745
arm=CL1 round=15 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
arm=B round=15 tag=recorded hint_faults_delta=229579 pages_migrated_delta=1441780
arm=CFULL round=15 tag=recorded hint_faults_delta=0 pages_migrated_delta=0
