B-warmup hint_faults=409020 pages_migrated=2092748
E-warmup hint_faults=1 pages_migrated=1
N-warmup hint_faults=0 pages_migrated=0
F-warmup hint_faults=0 pages_migrated=0
B hint_faults=468370 pages_migrated=1970160
E hint_faults=0 pages_migrated=0
N hint_faults=0 pages_migrated=0
F hint_faults=0 pages_migrated=0
E hint_faults=0 pages_migrated=0
N hint_faults=2 pages_migrated=1
F hint_faults=61 pages_migrated=26
B hint_faults=807655 pages_migrated=2502279
N hint_faults=3 pages_migrated=0
F hint_faults=1 pages_migrated=0
B hint_faults=743907 pages_migrated=2492005
E hint_faults=0 pages_migrated=0
F hint_faults=1 pages_migrated=0
B hint_faults=776908 pages_migrated=2555021
E hint_faults=0 pages_migrated=0
N hint_faults=1 pages_migrated=0
B hint_faults=335083 pages_migrated=1885954
E hint_faults=2 pages_migrated=1
N hint_faults=1 pages_migrated=1
F hint_faults=1 pages_migrated=1
E hint_faults=3 pages_migrated=1
N hint_faults=1 pages_migrated=1
F hint_faults=0 pages_migrated=0
B hint_faults=829683 pages_migrated=2522468
N hint_faults=1 pages_migrated=0
F hint_faults=1 pages_migrated=0
B hint_faults=871979 pages_migrated=2662811
E hint_faults=1 pages_migrated=1
F hint_faults=1 pages_migrated=1
B hint_faults=506456 pages_migrated=2328699
E hint_faults=2 pages_migrated=1
N hint_faults=1 pages_migrated=0
B hint_faults=221723 pages_migrated=1669990
E hint_faults=7 pages_migrated=4
N hint_faults=0 pages_migrated=0
F hint_faults=0 pages_migrated=0
E hint_faults=0 pages_migrated=0
N hint_faults=0 pages_migrated=0
F hint_faults=0 pages_migrated=0
B hint_faults=811345 pages_migrated=2521875
