2103872 set_mempolicy(MPOL_BIND, [0x00000000000003], 65) = 0
2103872 sched_setaffinity(0, 1024, [1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99 101 103 105 107 109 111 113 115 117 119 121 123 125 127 129 131 133 135 137 139 141 143 145 147 149 151 153 155 157 159 161 163 165 167 169 171 173 175 177 179 181 183 185 187 189 191 193 195 197 199 201 203 205 207 209 211 213 215 217 219 221 223 225 227 229 231 233 235 237 239 241 243 245 247 249 251 253 255 ...]) = 0
2103872 set_mempolicy(MPOL_PREFERRED, [0x00000000000002], 65) = 0
2103874 mbind(0x3d360400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103872 mbind(0x3d360800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103902 mbind(0x3d360c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103902 <... mbind resumed>)            = 0
2103909 mbind(0x3d361000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103901 mbind(0x3d361400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103901 <... mbind resumed>)            = 0
2103906 mbind(0x3d361800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103906 <... mbind resumed>)            = 0
2103906 mbind(0x3d361c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103906 <... mbind resumed>)            = 0
2103904 mbind(0x3d362000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103890 mbind(0x3d362400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103890 <... mbind resumed>)            = 0
2103880 mbind(0x3d362800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103880 mbind(0x3d362c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d363000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103877 <... mbind resumed>)            = 0
2103895 mbind(0x3d363400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103895 <... mbind resumed>)            = 0
2103881 mbind(0x3d363800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103881 mbind(0x3d363c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103881 mbind(0x3d364000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103881 mbind(0x3d364400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103881 mbind(0x3d364800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103881 mbind(0x3d364c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103881 mbind(0x3d365000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103889 mbind(0x3d365400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103889 <... mbind resumed>)            = 0
2103918 mbind(0x3d365800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d365c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d366000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d366400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d366800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d366c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d367000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d367400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d367800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d367c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103877 mbind(0x3d368000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103883 mbind(0x3d368400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103883 <... mbind resumed>)            = 0
2103922 mbind(0x3d368800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103900 mbind(0x3d368c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d369000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d369400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d369800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d369c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36a000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36a400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36a800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36ac00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36b000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36b400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36b800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36bc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36c000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36c400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36c800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36cc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103885 mbind(0x3d36d000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103934 mbind(0x3d36d400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103911 mbind(0x3d36d800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d36dc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d36e000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d36e400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d36e800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d36ec00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d36f000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d36f400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d36f800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d36fc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d370000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d370400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d370800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d370c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d371000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d371400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d371800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d371c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d372000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d372400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d372800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d372c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d373000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d373400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d373800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d373c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103886 mbind(0x3d374000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103875 mbind(0x3d374400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103875 <... mbind resumed>)            = 0
2103944 mbind(0x3d374800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103950 mbind(0x3d374c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103907 mbind(0x3d375000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103907 <... mbind resumed>)            = 0
2103920 mbind(0x3d375400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d375800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d375c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d376000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d376400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d376800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d376c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d377000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d377400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d377800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d377c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d378000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d378400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d378800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d378c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d379000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d379400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d379800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d379c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37a000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37a400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37a800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37ac00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37b000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37b400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37b800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37bc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37c000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
