# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 953K of event 'cycles:P'
# Event count (approx.): 650593805987
#
#     Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    23.64%  [k] native_queued_spin_lock_slowpath                                                                                                                                                                                                                                                                                                                                                                       -      -            
     4.14%  [.] encoding/json/jsontext.(*decoderState).consumeValue                                                                                                                                                                                                                                                                                                                                                    -      -            
     3.44%  [.] runtime.(*spanSet).pop                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     3.30%  [.] encoding/json/v2.makeStructArshaler.func2                                                                                                                                                                                                                                                                                                                                                              -      -            
     3.20%  [.] runtime.memmove                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     3.06%  [.] encoding/json/jsontext.(*decoderState).ReadValue                                                                                                                                                                                                                                                                                                                                                       -      -            
     2.76%  [.] encoding/json/jsontext.(*decoderState).consumeObject                                                                                                                                                                                                                                                                                                                                                   -      -            
     2.55%  [.] encoding/json/v2.makeStructArshaler.func3                                                                                                                                                                                                                                                                                                                                                              -      -            
     2.36%  [.] runtime.tryDeferToSpanScan                                                                                                                                                                                                                                                                                                                                                                             -      -            
     2.11%  [.] encoding/json/jsontext.(*decoderState).PeekKind                                                                                                                                                                                                                                                                                                                                                        -      -            
     1.77%  [.] runtime.gcmarknewobject                                                                                                                                                                                                                                                                                                                                                                                -      -            
     1.40%  [.] runtime.(*activeSweep).end                                                                                                                                                                                                                                                                                                                                                                             -      -            
     1.14%  [.] internal/strconv.readFloat                                                                                                                                                                                                                                                                                                                                                                             -      -            
     1.10%  [.] runtime.(*sweepLocked).sweep                                                                                                                                                                                                                                                                                                                                                                           -      -            
     1.07%  [.] runtime.sweepone                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     1.03%  [.] internal/runtime/maps.(*Map).getWithoutKeySmallFastStr                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.98%  [.] runtime.mallocgcSmallScanNoHeaderSC7                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.97%  [.] runtime.wbBufFlush1                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.95%  [.] encoding/json/jsontext.(*decoderState).ReadToken                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.93%  [.] encoding/json/v2.makeIntArshaler.func2                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.87%  [.] runtime.findObject                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.77%  [.] runtime.(*mheap).nextSpanForSweep                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.77%  [.] internal/runtime/gc/scan.scanSpanPackedAVX512.abi0                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.75%  [.] encoding/json/internal/jsonwire.AppendQuote                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.73%  [.] encoding/json/internal/jsonwire.ParseUint                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.73%  [.] gcWriteBarrier                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.71%  [.] internal/strconv.formatBase10                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.71%  [.] runtime.procyieldAsm.abi0                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.71%  [.] runtime.(*mcache).refill                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.70%  [.] internal/runtime/maps.memHashFallback                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.68%  [.] reflect.Value.Field                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.66%  [.] encoding/json/internal/jsonwire.ConsumeNumberResumable                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.60%  [.] runtime.newMarkBits                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.58%  [.] encoding/json/v2.makeIntArshaler.func1                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.54%  [.] runtime.deductSweepCredit                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.54%  [.] encoding/json/jsontext.(*encoderState).WriteToken                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.53%  [.] runtime.mallocgcSmallScanSlowPath                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.50%  [.] encoding/json/v2.makeSliceArshaler.func3                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.50%  [.] runtime.gcDrain                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.50%  [.] internal/strconv.fmtEFG                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.49%  [.] runtime.memclrNoHeapPointers                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.48%  [k] clear_page_erms                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.48%  [.] encoding/json/v2.makeString                                                                                                                                                                                                                                                                                                                                                                            -      -            
