# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 933K of event 'cycles:P'
# Event count (approx.): 631060713114
#
#     Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    35.71%  [k] native_queued_spin_lock_slowpath                                                                                                                                                                                                                                                                                                                                                                       -      -            
     3.96%  [.] runtime.memmove                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     3.94%  [.] encoding/json/jsontext.(*decoderState).consumeValue                                                                                                                                                                                                                                                                                                                                                    -      -            
     3.22%  [.] encoding/json/v2.makeStructArshaler.func2                                                                                                                                                                                                                                                                                                                                                              -      -            
     2.81%  [.] encoding/json/jsontext.(*decoderState).ReadValue                                                                                                                                                                                                                                                                                                                                                       -      -            
     2.80%  [.] encoding/json/jsontext.(*decoderState).consumeObject                                                                                                                                                                                                                                                                                                                                                   -      -            
     2.23%  [.] encoding/json/v2.makeStructArshaler.func3                                                                                                                                                                                                                                                                                                                                                              -      -            
     1.91%  [.] encoding/json/jsontext.(*decoderState).PeekKind                                                                                                                                                                                                                                                                                                                                                        -      -            
     1.85%  [.] runtime.tryDeferToSpanScan                                                                                                                                                                                                                                                                                                                                                                             -      -            
     1.65%  [.] runtime.gcmarknewobject                                                                                                                                                                                                                                                                                                                                                                                -      -            
     1.31%  [.] internal/runtime/maps.memHashFallback                                                                                                                                                                                                                                                                                                                                                                  -      -            
     1.06%  [.] internal/strconv.readFloat                                                                                                                                                                                                                                                                                                                                                                             -      -            
     1.05%  [k] clear_page_erms                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.99%  [.] internal/runtime/maps.(*Map).getWithoutKeySmallFastStr                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.97%  [.] runtime.wbBufFlush1                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.96%  [.] runtime.(*activeSweep).end                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.96%  [.] runtime.sweepone                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.88%  [.] encoding/json/jsontext.(*decoderState).ReadToken                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.87%  [.] encoding/json/v2.makeIntArshaler.func2                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.79%  [.] runtime.findObject                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.77%  [.] runtime.(*spanSet).pop                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.76%  [.] encoding/json/internal/jsonwire.AppendQuote                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.74%  [.] runtime.memclrNoHeapPointers                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.71%  [.] gcWriteBarrier                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.69%  [.] internal/strconv.formatBase10                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.68%  [.] encoding/json/internal/jsonwire.ParseUint                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.67%  [.] internal/runtime/gc/scan.scanSpanPackedAVX512.abi0                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.65%  [.] reflect.Value.Field                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.64%  [.] encoding/json/internal/jsonwire.ConsumeNumberResumable                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.63%  [.] runtime.(*mheap).nextSpanForSweep                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.56%  [.] runtime.newMarkBits                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.56%  [.] runtime.mallocgcSmallScanNoHeaderSC7                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.54%  [.] encoding/json/v2.makeIntArshaler.func1                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.53%  [.] encoding/json/jsontext.(*encoderState).WriteToken                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.51%  [.] internal/strconv.fmtEFG                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.45%  [.] encoding/json/v2.makeSliceArshaler.func3                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.44%  [.] encoding/json/v2.makeString                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.39%  [.] runtime.mallocgcSmallScanSlowPath                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.35%  [.] runtime.(*sweepLocked).sweep                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.34%  [.] memeqbody                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.34%  [.] runtime.procyieldAsm.abi0                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.33%  [.] runtime.mapaccess2_faststr                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.32%  [k] update_curr                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.30%  [.] encoding/json/v2.makePointerArshaler.func3                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.28%  [.] internal/strconv.AppendUint                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.28%  [.] encoding/json/v2.makeSliceArshaler.func2                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.27%  [.] encoding/json/v2.makeFloatArshaler.func2                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.26%  [.] internal/strconv.parseFloat64                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.24%  [.] encoding/json/internal/jsonwire.UnquoteMayCopy                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.24%  [.] encoding/json/internal/jsonflags.Flags.Get                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.23%  [.] runtime.(*lfstack).pop                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.22%  [.] encoding/json/v2.makeStringArshaler.func1                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.22%  [.] runtime.mapaccess1_faststr                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.22%  [.] internal/strconv.ftoa64                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.22%  [.] encoding/json/jsontext.(*decoderState).consumeArray                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.21%  [.] reflect.Value.Set                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.21%  [.] reflect.Value.SetInt                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.21%  [.] encoding/json/v2.makeFloatArshaler.func1                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.20%  [.] runtime.lock2                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.20%  [.] encoding/json/jsontext.(*decoderState).consumeNumber                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.19%  [.] runtime.(*spanSet).push                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.19%  [.] runtime.mallocgcSmallNoScanSlowPath                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.19%  [.] encoding/json/v2.makeStringArshaler.func2                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.19%  [.] encoding/json/v2.makePointerArshaler.func2                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.18%  [.] encoding/json/jsontext.(*Decoder).PeekKind                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.16%  [.] internal/strconv.shortFloat[go.shape.float64]                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.16%  [.] runtime.(*mcentral).cacheSpan                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.16%  [.] runtime.typePointers.next                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.16%  [.] runtime.bulkBarrierPreWrite                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.15%  [.] runtime.mallocgc                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.15%  [.] reflect.Value.IsNil                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.14%  [.] runtime.gcDrain                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.14%  [.] encoding/json/jsontext.(*objectNameStack).ReplaceLastQuotedOffset                                                                                                                                                                                                                                                                                                                                      -      -            
     0.14%  [.] reflect.Value.assignTo                                                                                                                                                                                                                                                                                                                                                                                 -      -            
