# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:Pu'
# Event count (approx.): 805584345537
#
#     Self  Symbol                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     6.13%  [.] encoding/json/jsontext.(*decoderState).consumeValue                                                                                                                                                                                                                                                                                                                                                    -      -            
     5.83%  [.] runtime.memmove                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     4.61%  [.] encoding/json/v2.makeStructArshaler.func2                                                                                                                                                                                                                                                                                                                                                              -      -            
     4.54%  [.] encoding/json/jsontext.(*decoderState).ReadValue                                                                                                                                                                                                                                                                                                                                                       -      -            
     3.98%  [.] encoding/json/jsontext.(*decoderState).consumeObject                                                                                                                                                                                                                                                                                                                                                   -      -            
     3.72%  [.] encoding/json/v2.makeStructArshaler.func3                                                                                                                                                                                                                                                                                                                                                              -      -            
     3.09%  [.] runtime.tryDeferToSpanScan                                                                                                                                                                                                                                                                                                                                                                             -      -            
     2.97%  [.] encoding/json/jsontext.(*decoderState).PeekKind                                                                                                                                                                                                                                                                                                                                                        -      -            
     2.78%  [.] internal/runtime/maps.memHashFallback                                                                                                                                                                                                                                                                                                                                                                  -      -            
     2.71%  [.] runtime.gcmarknewobject                                                                                                                                                                                                                                                                                                                                                                                -      -            
     2.33%  [.] runtime.(*activeSweep).end                                                                                                                                                                                                                                                                                                                                                                             -      -            
     2.28%  [.] runtime.(*spanSet).pop                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     1.62%  [.] internal/strconv.readFloat                                                                                                                                                                                                                                                                                                                                                                             -      -            
     1.56%  [.] encoding/json/jsontext.(*decoderState).ReadToken                                                                                                                                                                                                                                                                                                                                                       -      -            
     1.54%  [.] runtime.sweepone                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     1.48%  [.] internal/runtime/maps.(*Map).getWithoutKeySmallFastStr                                                                                                                                                                                                                                                                                                                                                 -      -            
     1.44%  [.] internal/runtime/gc/scan.scanSpanPackedAVX512.abi0                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.35%  [.] encoding/json/v2.makeIntArshaler.func2                                                                                                                                                                                                                                                                                                                                                                 -      -            
     1.34%  [.] runtime.(*mcentral).cacheSpan                                                                                                                                                                                                                                                                                                                                                                          -      -            
     1.32%  [.] runtime.mallocgcSmallScanNoHeaderSC7                                                                                                                                                                                                                                                                                                                                                                   -      -            
