% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 81.95 4012.205972       45824     87555     21153 futex
 14.28  699.217979        1457    479662           getcpu
  1.67   81.816656        1235     66233       285 rt_sigreturn
  0.46   22.369823       29395       761         4 epoll_pwait
  0.29   14.115416         676     20869           tgkill
  0.27   13.430548         643     20872           getpid
  0.20    9.877659         636     15530           sched_yield
  0.15    7.314121      332460        22         3 waitid
  0.12    5.734984         214     26756           fcntl
  0.10    4.942581         448     11012        59 nanosleep
  0.10    4.930809         926      5323           mmap
  0.10    4.702152         333     14111       317 newfstatat
  0.05    2.353481         198     11837        32 read
  0.04    1.826588         231      7881       624 openat
  0.03    1.679921         229      7330           close
  0.03    1.453733         215      6735      6634 epoll_ctl
  0.03    1.417382         606      2338           mbind
  0.02    1.197333         315      3800           rt_sigprocmask
  0.02    1.194900        1220       979           clone
  0.02    0.853791         412      2068           gettid
  0.02    0.809371         365      2216           sigaltstack
  0.01    0.553677         509      1086           getdents64
  0.01    0.351499         308      1139           fstat
  0.01    0.346147        1169       296           sched_setaffinity
  0.01    0.331516         888       373           timer_create
  0.01    0.300579         805       373           timer_settime
  0.00    0.098359         157       623           pread64
  0.00    0.074465          65      1137           madvise
  0.00    0.031760        1764        18         1 restart_syscall
  0.00    0.026745         191       140           timer_delete
  0.00    0.025502          17      1470           write
  0.00    0.024320         180       135           clone3
  0.00    0.023742          90       262       174 unlinkat
  0.00    0.018150         159       114           munmap
  0.00    0.016790          56       295           mprotect
  0.00    0.016162         113       142           set_robust_list
  0.00    0.012946          91       142           rseq
  0.00    0.011560           4      2414           rt_sigaction
  0.00    0.008124         451        18           execve
  0.00    0.007723          94        82        82 copy_file_range
  0.00    0.001823          47        38           pipe2
  0.00    0.001002          13        75           prlimit64
  0.00    0.000908          10        83        55 access
  0.00    0.000788         131         6           mkdirat
  0.00    0.000403          23        17           sched_getaffinity
  0.00    0.000379          15        25           brk
  0.00    0.000328          82         4           uname
  0.00    0.000274           6        42           dup3
  0.00    0.000261          20        13           eventfd2
  0.00    0.000258          19        13           epoll_create1
  0.00    0.000217           9        24        24 readlink
  0.00    0.000178          29         6           getrusage
  0.00    0.000167          41         4           unlink
  0.00    0.000167           9        18           arch_prctl
  0.00    0.000123          15         8           faccessat2
  0.00    0.000117          11        10           lseek
  0.00    0.000111           8        13        13 prctl
  0.00    0.000088          44         2           readlinkat
  0.00    0.000086          28         3           pidfd_open
  0.00    0.000069           9         7           getrandom
  0.00    0.000055           7         7           set_tid_address
  0.00    0.000054           9         6           setitimer
  0.00    0.000044          14         3           pidfd_send_signal
  0.00    0.000033           8         4           flock
  0.00    0.000020           5         4         4 ioctl
  0.00    0.000008           8         1           set_mempolicy
  0.00    0.000007           7         1           get_mempolicy
------ ----------- ----------- --------- --------- ------------------
100.00 4895.732934        6084    804586     29464 total
